"target","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla"
0,0,1,2,8,9.8,60.8,6.238,578,105,170,50
1.9,1,1,2,8.35,8,57.75,1288,370,428.75,558.75,1.3
0,2,1,2,8.1,11.4,40.02,5.33,346.66699,125667,187.05701,15.6
0,1,1,2,8.07,4.8,77.364,2302,98182,61.182,138.7,1.4
0,2,1,2,8.06,9,55.35,10.416,233.7,58222,97.58,10.5
0,0,1,3,8.25,13.1,65.75,9248,430,18.25,56667,28.4
3.9,3,1,3,8.15,10.3,73.25,1535,110,61.25,111.75,3.2
0,2,1,3,8.05,10.6,59067,4.99,205.66701,44667,77434,6.9
0,0,1,2,8.7,3.4,21.95,0.886,102.75,36.3,71,5544
2.9,0,1,3,7.93,9.9,8,1.39,5.8,27.25,46.6,0.8
0,1,1,3,7.7,10.2,8,1527,21.571,12.75,20.75,0.8
0,3,1,3,7.45,11.7,8.69,1588,18.429,10667,19,0.6
0,0,1,3,7.74,9.6,5,1.223,27.286,12,17,41
0,3,1,3,7.72,11.8,6.3,1.47,8,16,15,0.5
0,0,1,3,7.9,9.6,3,1.448,46.2,13,61.6,0.3
0,2,1,3,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1
1.2,0,1,3,7.78,12,7,1.42,34333,18667,50,1.1
4.8,1,1,3,7.61,9.8,7,1443,31.333,20,57833,0.4
4.3,3,1,3,7.35,10.4,7,1.718,49,41.5,61.5,0.8
44.6,1,1,2,7.79,3.2,64,2822,8777.59961,564.59998,771.59998,4.5
6.8,0,1,2,7.83,10.7,88,4825,1729,467.5,586,16
2.3,1,1,3,7.2,9.2,0.8,642,81,15.6,18,0.5
0,2,1,3,7.75,10.3,32.92,2.942,42,16,40,7.6
3.7,0,1,3,7.62,8.5,11867,1715,208.33299,3,27.5,1.7
3.5,1,1,3,7.84,9.4,10975,1.51,12.5,3,11.5,1.5
0,3,1,3,7.77,10.7,12536,3.976,58.5,9,44136,3
4.9,0,1,3,7.09,8.4,10.5,1.572,28,4,13.6,0.5
0,2,1,3,6.8,11.1,9,0.63,20,4,15.3573268472903,2.7
0,0,1,3,8,9.8,16,0.73,20,26,45,0.8
0,1,1,3,7.2,11.3,9,0.23,120,12,19,0.5
0,2,1,3,7.4,12.5,13,3.33,60,72,142,4.9
0,0,1,3,8.1,10.3,26,3.78,60,246,304,2.8
0,3,1,3,7.8,11.3,20083,3.02,49.5,53,130.75,5.8
0,2,1,2,8.4,9.9,34.5,2818,3515,20,47,2.3
0,0,1,2,8.27,7.8,29.2,0.05,6400,7.4,23,0.9
0,3,1,2,8.66,8.4,30.523,3444,1911,58875,84.46,3.6
0,0,1,3,8.3,10.9,1.17,735,13.5,1625,3,0.2
0,1,1,3,8,10.4664624599572,1.45,0.81,10,2.5,3,0.3
2.2,0,1,2,8.3,8.9,20625,3.414,228.75,196.62,253.25,12.32
3.7,1,1,2,8.1,10.5,22.286,4.071,178.57001,182.42,255.28,8957
1.7,0,1,2,8,5.5,77,6096,122.85,143.71001,296,3.7
5.7,3,1,2,8.15,7.1,54.19,3.829,647.57001,59.429,175.04601,13.2
0,0,1,3,8.3,7.7,50,8543,76,264.89999,344.60001,22.5
