target,onehotencoder__x0_10-14,onehotencoder__x0_15-19,onehotencoder__x0_20-24,onehotencoder__x0_25-29,onehotencoder__x0_30-34,onehotencoder__x0_35-39,onehotencoder__x0_40-44,onehotencoder__x0_45-54,onehotencoder__x0_55-64,onehotencoder__x0_65+,onehotencoder__x1_Female,onehotencoder__x1_Male,onehotencoder__x2_American_Indian,onehotencoder__x2_Asian/Pacific_Island,onehotencoder__x2_Black,onehotencoder__x2_Hispanic,onehotencoder__x2_White
89.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
4158.0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
6175.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
3131.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
1585.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0
864.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,1.0
406.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0
358.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,1.0
358.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,1.0
62.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,1.0
2584.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0
48462.0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0
35289.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0
11789.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0
4419.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0
2228.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,1.0
957.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,1.0
624.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0
624.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,1.0
143.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,1.0
251.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0
9123.0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0
10081.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0
4749.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0
2340.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,1.0,0,0
1190.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,1.0,0,0
571.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,0
422.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0
422.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
29.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,1.0,0,0
4602.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0
59440.0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0
39185.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0
13843.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0
5282.0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0
2430.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,1.0,0,0
1018.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0
537.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0
537.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0
114.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,1.0,0,0
86.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0
2959.0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0
3935.0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0
2103.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0
985.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0
453.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0
221.0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,1.0,0
121.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0
121.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0
15.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,1.0,0
1397.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0
