target,Grievances,Rotate,Union,Workforce,Log_workforce
0.0,5.0,1.0,1.0,174.0,5.15906
0.0,18.0,1.0,1.0,208.0,5.33754
0.0,4.0,1.0,1.0,238.0,5.47227
0.0,5.0,1.0,1.0,297.0,5.69373
0.0,6.0,1.0,1.0,126.0,4.83628
0.0,8.0,1.0,1.0,161.0,5.0814
0.0,0.0,1.0,0.0,91.0,4.51086
0.0,0.0,1.0,0.0,147.0,4.99043
0.0,2.0,1.0,1.0,97.0,4.57471
0.0,2.0,1.0,1.0,77.0,4.34381
0.0,2.0,1.0,1.0,130.0,4.86753
0.0,2.0,1.0,1.0,140.0,4.94164
0.0,0.0,0.0,0.0,7.0,1.94591
0.0,0.0,0.0,0.0,6.0,1.79176
0.0,0.0,0.0,0.0,8.0,2.07944
0.0,0.0,0.0,0.0,9.0,2.19722
0.0,0.0,0.0,0.0,10.0,2.30259
0.0,0.0,0.0,0.0,10.0,2.30259
0.0,0.0,0.0,0.0,11.0,2.3979
0.0,0.0,0.0,0.0,10.0,2.30259
0.0,0.0,0.0,0.0,18.0,2.89037
0.0,0.0,0.0,0.0,21.0,3.04452
0.0,0.0,0.0,0.0,36.0,3.58352
0.0,0.0,0.0,0.0,67.0,4.20469
0.0,0.0,0.0,0.0,50.0,3.91202
0.0,0.0,0.0,0.0,75.0,4.31749
0.0,0.0,0.0,0.0,115.0,4.74493
0.0,0.0,0.0,0.0,48.0,3.8712
0.0,0.0,0.0,0.0,51.0,3.93183
0.0,0.0,0.0,0.0,53.0,3.97029
0.0,0.0,0.0,0.0,61.0,4.11087
0.0,0.0,0.0,0.0,69.0,4.23411
0.0,0.0,0.0,0.0,16.0,2.77259
0.0,0.0,0.0,0.0,16.0,2.77259
0.0,0.0,0.0,0.0,16.0,2.77259
0.0,0.0,0.0,0.0,16.0,2.77259
0.0,0.0,0.0,0.0,16.0,2.77259
0.0,0.0,0.0,0.0,16.0,2.77259
0.0,0.0,0.0,0.0,59.0,4.07754
0.0,0.0,0.0,0.0,63.0,4.14313
0.0,0.0,0.0,0.0,56.0,4.02535
0.0,9.0,0.0,1.0,372.0,5.91889
0.0,9.0,1.0,1.0,400.0,5.99146
0.0,0.0,1.0,0.0,64.0,4.15888
0.0,0.0,1.0,0.0,63.0,4.14313
0.0,0.0,1.0,0.0,41.0,3.71357
0.0,0.0,1.0,0.0,44.0,3.78419
0.0,0.0,1.0,0.0,44.0,3.78419
0.0,0.0,1.0,0.0,36.0,3.58352
0.0,0.0,1.0,0.0,47.0,3.85015
0.0,0.0,1.0,0.0,54.0,3.98898
0.0,45.0,1.0,1.0,406.0,6.00635
0.0,7.0,1.0,1.0,432.0,6.06843
0.0,12.0,1.0,1.0,209.0,5.34233
0.0,12.0,1.0,1.0,257.0,5.54908
0.0,15.0,1.0,1.0,266.0,5.5835
0.0,3.0,1.0,1.0,117.0,4.76217
0.0,0.0,1.0,0.0,143.0,4.96284
0.0,0.0,1.0,0.0,155.0,5.04343
0.0,0.0,1.0,0.0,212.0,5.35659
0.0,0.0,1.0,0.0,212.0,5.35659
0.0,26.0,0.0,1.0,415.0,6.02828
0.0,1.0,1.0,1.0,77.0,4.34381
0.0,6.0,0.0,1.0,78.0,4.35671
0.0,1.0,0.0,1.0,46.0,3.82864
0.0,2.0,0.0,1.0,37.0,3.61092
0.0,139.0,1.0,1.0,920.0,6.82437
0.0,8.0,0.0,1.0,468.0,6.14847
0.0,11.0,0.0,1.0,462.0,6.13556
0.0,27.0,0.0,1.0,479.0,6.1717
0.0,0.0,0.0,0.0,18.0,2.89037
0.0,13.0,0.0,1.0,45.0,3.80666
0.0,1.0,0.0,1.0,49.0,3.89182
0.0,0.0,0.0,1.0,49.0,3.89182
0.0,0.0,0.0,1.0,49.0,3.89182
0.0,0.0,0.0,1.0,34.0,3.52636
0.0,0.0,0.0,1.0,34.0,3.52636
1.0,12.0,1.0,1.0,168.0,5.12396
1.0,10.0,1.0,1.0,265.0,5.57973
1.0,0.0,1.0,0.0,156.0,5.04986
1.0,0.0,1.0,0.0,199.0,5.2933
1.0,0.0,1.0,0.0,346.0,5.84644
1.0,0.0,1.0,0.0,434.0,6.07304
1.0,0.0,0.0,0.0,25.0,3.21888
1.0,0.0,0.0,0.0,25.0,3.21888
1.0,0.0,0.0,0.0,69.0,4.23411
1.0,43.0,1.0,1.0,658.0,6.4892
1.0,6.0,1.0,1.0,407.0,6.00881
1.0,6.0,1.0,1.0,272.0,5.6058
1.0,30.0,1.0,1.0,268.0,5.59099
1.0,19.0,1.0,1.0,277.0,5.62402
1.0,4.0,1.0,1.0,178.0,5.18178
1.0,0.0,1.0,0.0,212.0,5.35659
1.0,0.0,1.0,0.0,212.0,5.35659
1.0,0.0,1.0,0.0,198.0,5.28827
1.0,0.0,1.0,0.0,189.0,5.24175
1.0,0.0,1.0,0.0,192.0,5.2575
1.0,14.0,1.0,1.0,246.0,5.50533
1.0,1.0,1.0,1.0,69.0,4.23411
1.0,84.0,1.0,1.0,520.0,6.25383
1.0,3.0,1.0,1.0,49.0,3.89182
1.0,25.0,0.0,1.0,536.0,6.28413
2.0,0.0,1.0,0.0,456.0,6.12249
2.0,41.0,0.0,1.0,401.0,5.99396
2.0,69.0,0.0,1.0,397.0,5.98394
2.0,6.0,1.0,1.0,414.0,6.02587
2.0,6.0,1.0,1.0,459.0,6.12905
2.0,22.0,1.0,1.0,472.0,6.15698
2.0,8.0,1.0,1.0,365.0,5.8999
2.0,50.0,1.0,1.0,450.0,6.10925
2.0,8.0,1.0,1.0,106.0,4.66344
2.0,5.0,0.0,1.0,76.0,4.33073
2.0,15.0,0.0,1.0,107.0,4.67283
2.0,2.0,1.0,1.0,93.0,4.5326
2.0,8.0,0.0,1.0,113.0,4.72739
2.0,19.0,1.0,1.0,691.0,6.53814
3.0,6.0,1.0,1.0,196.0,5.27811
3.0,2.0,1.0,1.0,367.0,5.90536
3.0,7.0,1.0,1.0,409.0,6.01372
3.0,7.0,1.0,1.0,429.0,6.06146
3.0,25.0,1.0,1.0,347.0,5.84932
3.0,40.0,1.0,1.0,282.0,5.64191
3.0,8.0,1.0,1.0,132.0,4.8828
3.0,6.0,0.0,1.0,320.0,5.76832
4.0,4.0,1.0,1.0,408.0,6.01127
4.0,5.0,1.0,1.0,457.0,6.12468
4.0,2.0,0.0,1.0,148.0,4.99721
4.0,10.0,0.0,1.0,342.0,5.83481
4.0,36.0,0.0,1.0,296.0,5.69036
5.0,10.0,0.0,1.0,319.0,5.76519
5.0,101.0,0.0,1.0,574.0,6.35263
5.0,1.0,1.0,1.0,461.0,6.1334
5.0,16.0,1.0,1.0,530.0,6.27288
5.0,2.0,1.0,1.0,83.0,4.41884
5.0,40.0,1.0,1.0,830.0,6.72143
6.0,43.0,1.0,1.0,424.0,6.04973
6.0,74.0,1.0,1.0,555.0,6.31897
6.0,0.0,0.0,0.0,189.0,5.24175
6.0,50.0,0.0,1.0,59.0,4.07754
7.0,77.0,1.0,1.0,599.0,6.39526
7.0,6.0,0.0,1.0,305.0,5.72031
7.0,21.0,0.0,1.0,357.0,5.87774
7.0,5.0,0.0,1.0,82.0,4.40672
8.0,53.0,1.0,1.0,388.0,5.96101
8.0,45.0,1.0,1.0,579.0,6.3613
8.0,52.0,1.0,1.0,608.0,6.41017
8.0,8.0,0.0,1.0,82.0,4.40672
9.0,67.0,1.0,1.0,624.0,6.43615
10.0,67.0,1.0,1.0,620.0,6.42972
10.0,14.0,0.0,1.0,80.0,4.38203
10.0,10.0,0.0,1.0,126.0,4.83628
10.0,11.0,0.0,1.0,60.0,4.09434
11.0,68.0,1.0,1.0,850.0,6.74524
11.0,5.0,0.0,1.0,427.0,6.05678
12.0,28.0,0.0,1.0,87.0,4.46591
12.0,2.0,0.0,1.0,78.0,4.35671
13.0,22.0,0.0,1.0,352.0,5.86363
13.0,33.0,0.0,1.0,51.0,3.93183
13.0,22.0,0.0,1.0,45.0,3.80666
13.0,23.0,0.0,1.0,524.0,6.26149
14.0,155.0,1.0,1.0,890.0,6.79122
15.0,20.0,0.0,1.0,509.0,6.23245
22.0,40.0,0.0,1.0,84.0,4.43082
