target,onehotencoder__x0_S,onehotencoder__x0_U,onehotencoder__x1_AUTUMN,onehotencoder__x1_SPRING,onehotencoder__x1_SUMMER,onehotencoder__x1_WINTER,NC,SC,NWC
1.69,1.0,0.0,1.0,0.0,0.0,0.0,1.65,1.8,3.33
0.74,0.0,1.0,1.0,0.0,0.0,0.0,1.09,0.79,1.59
0.81,1.0,0.0,0.0,0.0,0.0,1.0,2.39,0.36,2.06
1.44,0.0,1.0,0.0,0.0,0.0,1.0,2.96,1.27,4.05
2.48,1.0,0.0,0.0,0.0,0.0,1.0,4.16,2.16,6.0
0.84,0.0,1.0,0.0,0.0,0.0,1.0,2.76,0.87,4.17
0.37,0.0,1.0,0.0,0.0,0.0,1.0,1.08,0.85,3.45
0.37,1.0,0.0,0.0,0.0,0.0,1.0,0.26,0.47,0.9
1.33,0.0,1.0,0.0,1.0,0.0,0.0,2.53,1.08,3.65
3.38,1.0,0.0,0.0,1.0,0.0,0.0,2.76,3.1,5.06
0.69,1.0,0.0,0.0,1.0,0.0,0.0,1.07,0.64,1.95
1.42,0.0,1.0,0.0,1.0,0.0,0.0,1.42,1.08,1.22
0.44,1.0,0.0,0.0,1.0,0.0,0.0,0.24,0.44,0.94
0.76,0.0,1.0,0.0,1.0,0.0,0.0,0.7,0.67,0.94
1.13,1.0,0.0,0.0,0.0,1.0,0.0,0.97,1.66,2.21
0.88,0.0,1.0,0.0,0.0,1.0,0.0,1.06,1.13,1.46
0.17,1.0,0.0,0.0,0.0,1.0,0.0,0.13,0.27,0.35
0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.1,0.3,0.34
0.78,0.0,1.0,0.0,0.0,1.0,0.0,0.38,0.58,0.67
0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.45,0.43,0.44
0.52,1.0,0.0,1.0,0.0,0.0,0.0,0.42,0.47,0.53
2.73,0.0,1.0,1.0,0.0,0.0,0.0,2.24,4.02,2.52
0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.52,1.32,2.18
1.62,1.0,0.0,1.0,0.0,0.0,0.0,0.94,1.59,1.73
0.93,0.0,1.0,1.0,0.0,0.0,0.0,1.19,0.85,2.31
0.63,1.0,0.0,1.0,0.0,0.0,0.0,0.76,0.71,1.28
0.42,1.0,0.0,0.0,0.0,0.0,1.0,0.13,0.59,0.91
0.64,0.0,1.0,0.0,0.0,0.0,1.0,1.5,0.24,1.15
0.3,0.0,1.0,0.0,0.0,0.0,1.0,1.03,0.22,1.88
