target,onehotencoder__x0_adviser,onehotencoder__x0_amdahl,onehotencoder__x0_apollo,onehotencoder__x0_basf,onehotencoder__x0_bti,onehotencoder__x0_burroughs,onehotencoder__x0_c.r.d,onehotencoder__x0_cambex,onehotencoder__x0_cdc,onehotencoder__x0_dec,onehotencoder__x0_dg,onehotencoder__x0_formation,onehotencoder__x0_four-phase,onehotencoder__x0_gould,onehotencoder__x0_harris,onehotencoder__x0_honeywell,onehotencoder__x0_hp,onehotencoder__x0_ibm,onehotencoder__x0_ipl,onehotencoder__x0_magnuson,onehotencoder__x0_microdata,onehotencoder__x0_nas,onehotencoder__x0_ncr,onehotencoder__x0_nixdorf,onehotencoder__x0_perkin-elmer,onehotencoder__x0_prime,onehotencoder__x0_siemens,onehotencoder__x0_sperry,onehotencoder__x0_sratus,onehotencoder__x0_wang,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
199.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,256.0,6000.0,256.0,16.0,128.0
253.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,8000.0,32000.0,32.0,8.0,32.0
253.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,8000.0,32000.0,32.0,8.0,32.0
253.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,8000.0,32000.0,32.0,8.0,32.0
132.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,8000.0,16000.0,32.0,8.0,16.0
290.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,8000.0,32000.0,64.0,8.0,32.0
381.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,16000.0,32000.0,64.0,16.0,32.0
381.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,16000.0,32000.0,64.0,16.0,32.0
749.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,16000.0,64000.0,64.0,16.0,32.0
1238.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,32000.0,64000.0,128.0,32.0,64.0
23.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.0,1000.0,3000.0,0,1.0,2.0
24.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.0,512.0,3500.0,4.0,1.0,6.0
70.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,2000.0,8000.0,65.0,1.0,8.0
117.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,4000.0,16000.0,65.0,1.0,8.0
15.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.0,64.0,64.0,0,1.0,4.0
64.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,512.0,16000.0,0,4.0,32.0
23.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.0,524.0,2000.0,8.0,4.0,15.0
29.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,512.0,5000.0,0,7.0,32.0
22.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,1000.0,2000.0,0,5.0,16.0
124.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,5000.0,5000.0,142.0,8.0,64.0
35.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,1500.0,6300.0,0,5.0,32.0
39.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,3100.0,6200.0,0,5.0,20.0
40.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,2300.0,6200.0,0,6.0,64.0
45.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,3100.0,6200.0,0,6.0,64.0
28.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.0,128.0,6000.0,0,1.0,12.0
21.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.0,512.0,2000.0,4.0,1.0,3.0
28.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.0,256.0,6000.0,0,1.0,6.0
22.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.0,256.0,3000.0,4.0,1.0,3.0
28.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.0,512.0,5000.0,4.0,1.0,5.0
27.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.0,256.0,5000.0,4.0,1.0,6.0
102.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1310.0,2620.0,131.0,12.0,24.0
102.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1310.0,2620.0,131.0,12.0,24.0
