target,Species,Length1,Length2,Length3,Height,Width,Sex
242.0,1.0,23.2,25.4,30.0,38.4,13.4,0.2253521126760563
290.0,1.0,24.0,26.3,31.2,40.0,13.8,0.2253521126760563
340.0,1.0,23.9,26.5,31.1,39.8,15.1,0.2253521126760563
363.0,1.0,26.3,29.0,33.5,38.0,13.3,0.2253521126760563
430.0,1.0,26.5,29.0,34.0,36.6,15.1,0.2253521126760563
450.0,1.0,26.8,29.7,34.7,39.2,14.2,0.2253521126760563
500.0,1.0,26.8,29.7,34.5,41.1,15.3,0.2253521126760563
390.0,1.0,27.6,30.0,35.0,36.2,13.4,0.2253521126760563
450.0,1.0,27.6,30.0,35.1,39.9,13.8,0.2253521126760563
500.0,1.0,28.5,30.7,36.2,39.3,13.7,0.2253521126760563
475.0,1.0,28.4,31.0,36.2,39.4,14.1,0.2253521126760563
500.0,1.0,28.7,31.0,36.2,39.7,13.3,0.2253521126760563
500.0,1.0,29.1,31.5,36.4,37.8,12.0,0.2253521126760563
600.0,1.0,29.4,32.0,37.2,40.2,13.9,1.0
600.0,1.0,29.4,32.0,37.2,41.5,15.0,0.2253521126760563
700.0,1.0,30.4,33.0,38.3,38.8,13.8,1.0
700.0,1.0,30.4,33.0,38.5,38.8,13.5,0.2253521126760563
610.0,1.0,30.9,33.5,38.6,40.5,13.3,0.2253521126760563
650.0,1.0,31.0,33.5,38.7,37.4,14.8,0.2253521126760563
575.0,1.0,31.3,34.0,39.5,38.3,14.1,1.0
685.0,1.0,31.4,34.0,39.2,40.8,13.7,0.2253521126760563
620.0,1.0,31.5,34.5,39.7,39.1,13.3,0.2253521126760563
680.0,1.0,31.8,35.0,40.6,38.1,15.1,0.2253521126760563
700.0,1.0,31.9,35.0,40.5,40.1,13.8,0.2253521126760563
725.0,1.0,31.8,35.0,40.9,40.0,14.8,1.0
720.0,1.0,32.0,35.0,40.6,40.3,15.0,0.2253521126760563
714.0,1.0,32.7,36.0,41.5,39.8,14.1,0.2253521126760563
850.0,1.0,32.8,36.0,41.6,40.6,14.9,0.2253521126760563
1000.0,1.0,33.5,37.0,42.6,44.5,15.5,0.0
920.0,1.0,35.0,38.5,44.1,40.9,14.3,0.0
955.0,1.0,35.0,38.5,44.0,41.1,14.3,0.2253521126760563
925.0,1.0,36.2,39.5,45.3,41.4,14.9,1.0
975.0,1.0,37.4,41.0,45.9,40.6,14.7,0.0
950.0,1.0,38.0,41.0,46.5,37.9,13.7,0.2253521126760563
270.0,2.0,23.6,26.0,28.7,29.2,14.8,0.2253521126760563
270.0,2.0,24.1,26.5,29.3,27.8,14.5,0.2253521126760563
306.0,2.0,25.6,28.0,30.8,28.5,15.2,0.2253521126760563
540.0,2.0,28.5,31.0,34.0,31.6,19.3,0.2253521126760563
800.0,2.0,33.7,36.4,39.6,29.7,16.6,0.0
1000.0,2.0,37.3,40.0,43.5,28.4,15.0,0.2253521126760563
40.0,3.0,12.9,14.1,16.2,25.6,14.0,0.2253521126760563
69.0,3.0,16.5,18.2,20.3,26.1,13.9,0.2253521126760563
78.0,3.0,17.5,18.8,21.2,26.3,13.7,0.2253521126760563
87.0,3.0,18.2,19.8,22.2,25.3,14.3,0.2253521126760563
120.0,3.0,18.6,20.0,22.2,28.0,16.1,0.2253521126760563
0.0,3.0,19.0,20.5,22.8,28.4,14.7,0.2253521126760563
110.0,3.0,19.1,20.8,23.1,26.7,14.7,0.0
120.0,3.0,19.4,21.0,23.7,25.8,13.9,0.0
