target,Numeric Degree,TechUGCourses,TechGCourses,MgmtUGCourses,MgmtGCourses,Total Workshops,Total Conferences,TotalLangExp,Hardware Proj Mgmt Exp,Software Proj Mgmt Exp,No Of Hardware Proj Estimated,No Of Software Proj Estimated,Domain Exp,Procurement Industry Exp
0.897020854,2.0,0.0,3.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,5.0,0.0,0.0
0.895233366,3.0,5.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.891261172,3.0,21.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
0.88877855,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.88877855,3.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0.885402185,4.0,4.0,1.0,0.0,1.0,2.0,4.0,1.5,3.0,1.0,3.0,0.0,0.0,0.0
0.86693148,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.25,0.0,0.0,0.0,1.0,0.0,0.0
0.856007944,3.0,9.0,2.0,1.0,1.0,1.0,6.0,-8.0,0.0,2.0,0.0,6.0,4.0,1.5
0.85203575,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.834160874,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.828202582,3.0,26.0,0.0,1.0,0.0,11.0,0.0,18.0,7.0,4.0,2.0,4.0,0.0,0.0
0.820258193,2.0,0.0,20.0,0.0,0.0,0.0,1.0,9.5,0.0,2.0,0.0,10.0,0.0,0.0
0.815292949,3.0,72.0,12.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.795431976,3.0,27.0,27.0,5.0,5.0,0.0,0.0,12.75,0.0,0.0,0.0,0.0,1.0,0.0
0.779116187,3.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,2.0,0.0,0.0
0.776564052,4.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
0.765640516,4.0,6.0,8.0,6.0,3.0,6.0,11.0,11.5,2.25,2.25,4.0,5.0,2.0,2.0
0.757696127,3.0,25.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0
0.752730884,3.0,2.0,0.0,2.0,0.0,3.5,0.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0
0.72591857,3.0,2.0,0.0,0.0,0.0,13.0,22.0,13.0,0.0,4.0,0.0,10.0,0.0,0.0
