target,onehotencoder__x0_X,onehotencoder__x0_Y,onehotencoder__x0_de,onehotencoder__x0_erb,onehotencoder__x0_gal,onehotencoder__x0_hst,onehotencoder__x0_slp,onehotencoder__x0_spl,onehotencoder__x1_Avionics,onehotencoder__x1_application_ground,onehotencoder__x1_avionicsmonitoring,onehotencoder__x1_batchdataprocessing,onehotencoder__x1_communications,onehotencoder__x1_datacapture,onehotencoder__x1_launchprocessing,onehotencoder__x1_missionplanning,onehotencoder__x1_monitor_control,onehotencoder__x1_operatingsystem,onehotencoder__x1_realdataprocessing,onehotencoder__x1_science,onehotencoder__x1_simulation,onehotencoder__x1_utility,onehotencoder__x2_f,onehotencoder__x2_g,onehotencoder__x3_embedded,onehotencoder__x3_organic,onehotencoder__x3_semidetached,onehotencoder__x4_h,onehotencoder__x4_l,onehotencoder__x4_n,onehotencoder__x4_vh,onehotencoder__x5_h,onehotencoder__x5_l,onehotencoder__x5_n,onehotencoder__x5_vh,onehotencoder__x6_h,onehotencoder__x6_l,onehotencoder__x6_n,onehotencoder__x6_vh,onehotencoder__x6_xh,onehotencoder__x7_h,onehotencoder__x7_n,onehotencoder__x7_vh,onehotencoder__x7_xh,onehotencoder__x8_h,onehotencoder__x8_n,onehotencoder__x8_vh,onehotencoder__x8_xh,onehotencoder__x9_h,onehotencoder__x9_l,onehotencoder__x9_n,onehotencoder__x10_h,onehotencoder__x10_l,onehotencoder__x10_n,onehotencoder__x10_vh,onehotencoder__x11_h,onehotencoder__x11_n,onehotencoder__x11_vh,onehotencoder__x12_h,onehotencoder__x12_l,onehotencoder__x12_n,onehotencoder__x12_vh,onehotencoder__x13_h,onehotencoder__x13_n,onehotencoder__x13_vh,onehotencoder__x14_h,onehotencoder__x14_l,onehotencoder__x14_n,onehotencoder__x14_vl,onehotencoder__x15_h,onehotencoder__x15_l,onehotencoder__x15_n,onehotencoder__x15_vl,onehotencoder__x16_h,onehotencoder__x16_l,onehotencoder__x16_n,onehotencoder__x16_vh,onehotencoder__x16_vl,onehotencoder__x17_h,onehotencoder__x17_l,onehotencoder__x17_n,onehotencoder__x17_vh,onehotencoder__x17_vl,onehotencoder__x18_h,onehotencoder__x18_l,onehotencoder__x18_n,recordnumber,center,year,equivphyskloc
117.6,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,1.0,2.0,1979.0,25.9
117.6,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,2.0,2.0,1979.0,24.6
31.2,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,3.0,2.0,1979.0,7.7
36.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,4.0,2.0,1979.0,8.2
25.2,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,5.0,2.0,1979.0,9.7
8.4,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,6.0,2.0,1979.0,2.2
10.8,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,7.0,2.0,1979.0,3.5
352.8,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,8.0,2.0,1982.0,66.6
72.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,9.0,1.0,1980.0,7.5
72.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0,10.0,1.0,1980.0,20.0
